location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,incidence,mortality,iso_code,continent,cfr
Qatar,2930524.0,227.32,31.9,1.31,0.62,116935.6,176.69,16.52,0.8,26.9,1.2,80.23,0.85,2021-09-14,234895.0,122.0,604.0,0.0,80154.61,41.63,206.11,0.0,1954.26,1.02,QAT,Asia,0.26
Romania,19127772.0,85.13,43.0,17.85,11.69,23313.2,370.95,9.74,22.9,37.1,6.89,76.05,0.83,2021-09-14,1126582.0,3929.0,35132.0,96.0,58897.71,205.41,1836.7,5.02,2057.69,40.99,ROU,Europe,3.12
Russia,145912022.0,8.82,39.6,14.18,9.39,24765.95,431.3,6.18,23.4,58.3,8.05,72.58,0.82,2021-09-14,7072825.0,17529.0,190793.0,762.0,48473.22,120.13,1307.59,5.22,3847.48,158.99,RUS,Europe,2.7
Rwanda,13276517.0,494.87,20.3,2.97,1.64,1854.21,191.38,4.28,4.7,21.0,,69.02,0.54,2021-09-14,93567.0,488.0,1180.0,5.0,7047.56,36.76,88.88,0.38,1044.33,16.65,RWA,Africa,1.26
Saint Kitts and Nevis,53546.0,212.86,,,,24654.38,,12.84,,,2.3,76.23,0.78,2021-09-14,1510.0,34.0,8.0,0.0,28200.05,634.97,149.4,0.0,15967.58,93.38,KNA,North America,0.53
Saint Lucia,184401.0,293.19,34.9,9.72,6.4,12951.84,204.62,11.62,,,1.3,76.2,0.76,2021-09-14,9971.0,148.0,132.0,0.0,54072.38,802.6,715.83,0.0,19549.79,200.65,LCA,North America,1.32
Saint Vincent and the Grenadines,111269.0,281.79,31.8,7.72,4.83,10727.15,252.68,11.62,,,2.6,72.53,0.74,2021-09-14,2521.0,34.0,13.0,1.0,22656.8,305.57,116.83,8.99,1860.36,8.99,VCT,North America,0.52
Samoa,200144.0,69.41,22.0,5.61,3.56,6021.56,348.98,9.21,16.7,38.1,,73.32,0.72,2021-09-14,3.0,0.0,0.0,0.0,14.99,0.0,0.0,0.0,0.0,0.0,WSM,Oceania,0.0
San Marino,34010.0,556.67,,,,56861.47,,5.64,,,3.8,84.97,,2021-09-14,5399.0,11.0,90.0,0.0,158747.43,323.43,2646.28,0.0,5204.35,0.0,SMR,Europe,1.67
Sao Tome and Principe,223364.0,212.84,18.7,2.89,2.16,3052.71,270.11,2.42,,,2.9,70.39,0.62,2021-09-14,2877.0,52.0,42.0,3.0,12880.32,232.8,188.03,13.43,1741.55,22.38,STP,Africa,1.46
Saudi Arabia,35340680.0,15.32,31.9,3.3,1.84,49045.41,259.54,17.72,1.8,25.4,2.7,75.13,0.85,2021-09-14,545829.0,0.0,8610.0,0.0,15444.78,0.0,243.63,0.0,239.24,6.28,SAU,Asia,1.58
Senegal,17196308.0,82.33,18.7,3.01,1.8,2470.58,241.22,2.42,0.4,16.6,,67.94,0.51,2021-09-14,73513.0,13.0,1837.0,4.0,4274.93,0.76,106.82,0.23,164.8,13.78,SEN,Africa,2.5
Serbia,6804596.0,80.29,41.2,17.37,,14048.88,439.42,10.08,37.7,40.2,5.61,76.0,0.81,2021-09-14,830884.0,7723.0,7601.0,26.0,122106.29,1134.97,1117.04,3.82,14525.48,63.78,SRB,Europe,0.91
Seychelles,98910.0,208.35,36.2,8.61,5.59,26382.29,242.65,10.55,7.1,35.7,3.6,73.4,0.8,2021-09-14,20593.0,0.0,106.0,0.0,208199.37,0.0,1071.68,0.0,14599.13,80.88,SYC,Africa,0.51
Sierra Leone,8141343.0,104.7,19.1,2.54,1.28,1390.3,325.72,2.42,8.8,41.3,,54.7,0.45,2021-09-14,6386.0,1.0,121.0,0.0,784.39,0.12,14.86,0.0,5.4,0.0,SLE,Africa,1.89
Singapore,5896684.0,7915.73,42.4,12.92,7.05,85535.38,92.24,10.99,5.2,28.3,2.4,83.62,0.94,2021-09-14,73131.0,837.0,58.0,0.0,12402.06,141.94,9.84,0.0,1180.15,2.37,SGP,Asia,0.08
Slovakia,5460726.0,113.13,41.2,15.07,9.17,30155.15,287.96,7.29,23.1,37.7,5.82,77.54,0.86,2021-09-14,399218.0,474.0,12562.0,2.0,73107.13,86.8,2300.43,0.37,1041.8,3.3,SVK,Europe,3.15
Slovenia,2078723.0,102.62,44.5,19.06,12.93,31400.84,153.49,7.25,20.1,25.0,4.5,81.32,0.92,2021-09-14,277853.0,1396.0,4473.0,3.0,133665.24,671.57,2151.8,1.44,7901.49,19.24,SVN,Europe,1.61
Solomon Islands,703995.0,21.84,20.8,3.51,2.04,2205.92,459.78,18.68,,,1.4,73.0,0.57,2021-09-14,20.0,0.0,0.0,0.0,28.41,0.0,0.0,0.0,0.0,0.0,SLB,Oceania,0.0
Somalia,16359500.0,23.5,16.8,2.73,1.5,,365.77,6.05,,,0.9,57.4,,2021-09-14,18568.0,0.0,1032.0,0.0,1135.0,0.0,63.08,0.0,137.47,9.11,SOM,Africa,5.56
South Africa,60041996.0,46.75,27.3,5.34,3.05,12294.88,200.38,5.52,8.1,33.2,2.32,64.13,0.71,2021-09-14,2864534.0,3699.0,85302.0,300.0,47708.84,61.61,1420.71,5.0,4312.78,135.92,ZAF,Africa,2.98
South Korea,51305184.0,527.97,43.4,13.91,8.62,35938.37,86.0,6.8,6.2,40.9,12.27,83.03,0.92,2021-09-14,277989.0,2079.0,2380.0,13.0,5418.34,40.52,46.39,0.25,1023.44,4.15,KOR,Asia,0.86
South Sudan,11381377.0,,19.2,3.44,2.03,1569.89,280.77,10.43,,,,57.85,0.43,2021-09-14,11755.0,132.0,121.0,1.0,1032.83,11.6,10.63,0.09,51.22,0.09,SSD,Africa,1.03
Spain,46745211.0,93.1,45.5,19.44,13.8,34272.36,99.4,7.17,27.4,31.4,2.97,83.56,0.9,2021-09-14,4918526.0,3261.0,85548.0,155.0,105219.89,69.76,1830.09,3.32,4813.03,65.85,ESP,Europe,1.74
